Fecha;SKU 1;SKU 2;SKU 3;SKU 4;SKU 5;SKU 6;SKU 7;SKU 8;SKU 9;SKU 10;SKU 11;SKU 12;SKU 13;SKU 14;SKU 15;SKU 16;SKU 17;SKU 18;SKU 19;SKU 20;SKU 21;SKU 22;SKU 23;SKU 24;SKU 25;SKU 26;SKU 27;SKU 28;SKU 29;SKU 30
01/07/2015;1.194;2493.747;25.554;66.221;0.085;22.861;6.166;-0.810;620.626;95.899;68.553;-0.173;100.874;24.959;84.431;21.000;82.597;17.711;32.387;51.480;-0.174;74.693;911.632;46.807;-16.512;7.338;10.736;1606.073;1925.791;1009.437
01/08/2015;0.643;2559.710;32.332;92.327;0.000;13.441;10.280;0.427;213.022;128.209;59.745;4.313;51.395;19.637;84.258;15.221;61.304;7.895;35.601;49.100;0.643;61.659;765.848;38.459;64.962;14.499;19.089;856.372;2118.195;1082.269
01/09/2015;1.286;4038.359;31.032;46.846;0.000;27.227;6.679;1.542;73.233;144.451;69.567;0.091;80.947;9.728;94.708;46.064;61.764;10.093;29.635;30.469;-0.174;76.992;885.536;40.660;110.121;10.553;10.094;377.860;2162.388;1616.217
01/10/2015;0.689;1860.984;23.866;68.044;0.000;38.788;5.310;2.225;96.451;110.119;71.670;0.643;83.425;16.514;44.146;28.259;53.232;10.000;26.603;34.308;-0.260;55.507;718.038;27.808;81.954;13.668;11.836;580.877;2068.489;1226.667
01/11/2015;1.791;2932.069;42.635;127.522;0.000;62.870;3.253;1.627;231.734;161.428;89.844;4.129;149.608;36.154;21.208;45.595;84.622;19.003;62.944;86.440;0.183;128.560;2080.007;61.680;13.120;29.181;21.653;2131.256;2805.047;1990.642
01/12/2015;1.793;4744.126;148.837;414.061;0.000;62.606;9.937;2.314;1008.294;173.914;100.681;1.743;139.779;30.277;270.043;103.612;187.884;44.156;74.968;125.080;0.183;174.909;2426.332;129.966;190.058;37.710;36.066;3886.990;3873.023;2699.919
01/01/2016;0.729;1656.942;44.474;56.143;0.000;33.840;10.518;2.375;179.431;75.253;61.521;1.274;133.887;24.445;17.089;23.168;80.531;31.266;61.614;61.248;0.181;71.526;749.679;61.439;-11.055;13.264;13.541;751.429;1729.053;985.336
01/02/2016;0.455;2389.829;24.428;52.749;0.084;24.093;1.355;0.459;168.515;55.256;60.706;0.455;235.137;18.357;82.538;24.720;120.979;23.902;31.801;33.263;0.181;26.992;1210.122;69.894;35.989;10.720;8.271;604.216;1561.695;920.991
01/03/2016;2.137;3268.579;27.411;51.295;0.000;46.894;2.541;0.424;-7.458;60.626;61.074;0.454;130.975;25.080;92.445;9.449;68.165;27.541;22.989;22.716;0.181;48.162;1240.854;68.805;88.605;9.087;11.541;633.044;1640.589;1026.057
01/04/2016;0.955;2195.517;8.189;53.072;0.084;26.377;12.893;0.423;76.803;125.522;46.715;0.909;107.163;24.263;54.804;36.811;103.431;34.719;13.632;22.995;0.181;25.811;440.291;55.808;55.257;20.721;9.089;541.341;1917.957;917.518
01/05/2016;1.911;2458.429;6.661;44.113;0.000;27.649;5.427;4.750;57.255;88.069;83.985;3.635;66.806;21.724;69.982;26.171;69.618;42.627;70.529;109.790;0.091;124.787;664.929;38.357;24.342;4.179;16.361;528.734;1643.932;987.451
01/06/2016;3.093;2123.587;16.213;52.032;0.000;69.471;9.332;3.648;107.330;144.057;77.073;0.726;172.061;23.542;89.163;13.269;94.172;35.717;39.076;68.344;0.273;90.243;609.588;57.990;78.968;15.174;13.449;1352.588;2060.357;1211.653
01/07/2016;2.683;2992.987;25.738;62.199;0.084;44.866;4.239;0.509;494.510;128.240;50.077;1.908;106.164;20.996;53.261;24.448;78.611;3.820;36.718;56.802;-0.175;99.428;869.741;47.626;57.334;15.452;18.997;1081.245;1685.507;1325.571
01/08/2016;1.502;1926.376;33.960;88.070;0.000;28.917;3.139;0.254;791.490;131.513;81.252;1.271;68.074;15.360;99.612;14.725;105.791;28.266;18.539;75.988;0.181;58.440;645.235;44.993;80.693;8.546;10.267;130.852;1814.213;1057.379
01/09/2016;0.956;1971.489;18.983;79.538;0.000;62.000;14.505;1.526;101.968;240.587;96.795;3.542;53.537;18.451;131.228;27.082;65.530;77.342;49.532;55.441;0.181;103.334;1339.128;29.633;88.512;18.539;8.085;581.814;1856.263;1320.477
01/10/2016;1.181;2015.364;8.678;37.077;0.000;37.829;5.767;1.018;187.957;108.346;98.888;0.364;55.351;15.816;56.348;13.537;82.705;10.818;24.539;45.988;0.091;77.707;514.541;44.717;73.149;12.729;12.725;638.890;1746.951;985.516
01/11/2016;3.274;2281.714;54.806;224.566;0.169;50.037;10.691;0.933;213.385;193.052;135.338;3.363;135.160;28.176;98.608;33.623;149.767;29.539;78.892;107.531;0.454;83.609;1014.894;76.626;54.064;25.449;33.174;2833.531;2893.886;1580.908
01/12/2016;5.548;4514.324;156.575;424.293;0.000;63.016;15.690;4.494;793.148;260.762;190.415;2.905;204.504;64.709;287.369;41.351;228.589;101.255;109.070;163.880;0.363;227.766;2010.707;71.532;32.353;51.441;30.261;4385.146;5157.346;2814.360
01/01/2017;3.087;906.293;58.517;35.604;0.000;18.444;0.171;0.600;227.523;30.791;60.875;3.309;69.706;25.108;29.984;2.020;138.682;6.992;38.066;78.346;0.828;116.049;854.441;60.700;52.881;9.466;-0.694;612.216;1644.180;1071.188
01/02/2017;3.083;1835.449;25.829;75.456;0.000;41.613;26.951;4.548;283.338;52.226;75.676;3.864;138.407;27.128;134.451;-2.944;119.193;16.460;39.355;61.793;0.275;115.315;628.010;91.227;57.647;6.803;-0.260;869.473;1961.756;978.124
01/03/2017;3.871;2783.669;10.003;39.436;0.172;33.447;7.206;0.343;-14.833;150.990;94.063;2.206;246.650;23.353;98.204;1.286;228.992;72.365;56.827;119.358;1.288;150.519;1253.284;97.668;121.452;12.408;11.586;570.044;2887.119;1869.442
01/04/2017;2.118;2255.895;20.626;30.551;0.000;83.155;13.045;2.487;183.363;64.458;76.223;5.794;191.652;18.850;91.302;0.092;119.172;30.076;29.324;57.273;0.183;70.520;633.819;55.266;45.524;28.131;24.368;836.460;2003.028;1242.246
01/05/2017;2.899;2103.514;10.005;42.232;0.000;53.541;4.632;0.256;77.240;50.390;96.638;2.206;106.585;12.685;72.639;-0.606;118.151;37.430;34.660;27.576;0.183;26.387;1150.010;51.870;51.130;7.903;5.884;-133.631;1630.499;763.518
01/06/2017;4.005;2298.714;10.443;37.194;0.256;44.446;3.260;1.630;155.034;96.465;98.201;1.103;118.451;10.943;158.437;6.989;101.802;73.385;40.167;44.767;0.827;50.838;928.103;55.363;11.407;10.478;10.391;389.535;1633.552;778.700
01/07/2017;2.397;1999.132;11.870;174.625;0.000;29.502;4.114;0.430;757.325;40.641;102.798;1.379;38.349;18.112;111.354;5.703;139.124;11.773;30.430;58.926;0.643;14.897;516.917;40.461;3.308;5.048;2.934;1200.280;1892.204;1105.040
01/08/2017;4.834;1961.178;50.064;80.061;0.000;21.955;3.345;2.831;187.588;91.599;103.251;1.196;130.033;36.506;134.805;24.640;139.223;54.443;14.895;105.838;0.276;53.972;958.262;29.155;22.893;9.463;6.252;165.763;2010.626;1173.937
01/09/2017;0.924;1859.881;13.619;37.409;0.000;46.062;22.055;5.235;23.607;204.053;134.975;5.700;90.564;24.918;114.020;16.819;88.932;56.187;35.773;54.630;0.276;83.125;1094.380;33.466;20.231;13.511;11.214;402.278;2089.598;1164.031
01/10/2017;2.855;2032.386;21.172;37.128;0.000;24.190;1.972;0.085;213.425;88.546;106.925;1.931;81.668;23.355;125.602;10.204;116.703;93.157;29.414;47.902;-0.001;45.604;1227.899;49.102;104.089;10.388;7.259;394.930;1522.824;882.363
01/11/2017;2.948;2817.893;51.972;295.709;0.000;36.525;-4.129;-2.991;289.309;-33.352;203.110;-0.519;103.911;39.812;143.899;12.121;147.334;114.215;25.170;74.182;0.734;141.680;1233.158;75.499;215.179;17.189;18.292;2859.099;2863.400;1691.762
01/12/2017;2.075;4291.168;177.267;622.270;0.000;93.156;13.208;1.028;1002.590;212.608;222.590;3.768;164.805;58.840;355.251;12.313;263.301;60.784;100.555;136.621;0.826;162.640;1046.618;106.763;180.798;35.481;17.837;2663.857;3747.211;2600.049
01/01/2018;2.466;1343.963;31.839;47.517;0.000;78.161;18.305;4.259;98.634;211.139;92.968;9.671;151.021;38.502;0.444;37.027;197.182;44.350;54.540;110.851;1.458;128.817;636.119;49.461;-5.680;22.982;14.140;1151.549;2478.067;1504.483
01/02/2018;3.246;2372.358;19.132;89.415;0.000;23.655;2.466;0.426;335.072;124.532;8.029;2.007;213.616;10.953;68.623;8.202;156.953;88.053;35.666;64.309;0.456;92.056;866.325;102.016;53.281;5.192;12.410;1128.922;2001.081;1126.741
01/03/2018;-0.436;2429.658;25.922;16.217;0.000;26.903;10.645;0.085;79.103;87.215;69.977;2.736;222.648;27.281;69.326;8.295;230.772;47.449;43.527;94.261;0.272;125.090;1177.108;136.595;42.782;13.501;6.384;412.631;2217.018;1080.392
01/04/2018;0.275;2403.731;15.728;67.639;0.000;35.067;8.770;0.085;110.596;181.841;109.671;1.187;199.376;13.229;69.521;11.676;143.163;116.158;46.348;28.645;0.639;113.955;967.520;49.634;76.455;13.501;10.398;1461.917;1611.944;961.382
01/05/2018;2.830;2339.749;31.079;38.454;0.000;61.218;19.503;0.767;72.704;154.473;110.675;5.109;195.633;14.501;106.203;5.468;152.458;35.770;40.599;118.979;1.095;80.277;622.510;40.960;71.980;8.482;8.848;25.633;1552.658;891.059
01/06/2018;0.274;2420.316;14.460;58.343;0.000;28.503;5.533;0.511;134.954;204.758;116.605;2.829;237.243;37.227;148.633;4.649;145.533;53.196;68.605;79.269;0.091;135.477;902.000;62.960;84.754;8.206;8.300;11.395;1867.148;1056.847
01/07/2018;1.872;2482.194;27.820;194.664;0.000;12.419;18.564;0.170;880.278;81.298;118.791;0.454;74.002;34.494;69.433;7.196;181.943;46.623;16.505;99.809;0.365;154.915;539.481;45.077;18.414;7.751;14.134;633.463;2136.180;1498.552
01/08/2018;2.054;2283.163;32.218;116.376;0.171;0.761;7.914;0.425;403.691;344.709;86.223;0.912;76.464;18.065;179.207;26.638;188.416;64.241;23.714;62.591;0.365;108.017;772.340;54.200;55.191;10.762;9.032;768.513;1749.865;1074.060
01/09/2018;0.274;2692.305;34.686;-25.725;0.256;76.125;3.656;0.767;-70.997;147.726;147.438;-0.087;131.667;21.620;99.181;11.480;139.783;47.083;36.399;88.682;0.273;72.699;1014.704;59.223;113.231;17.516;17.609;547.318;2049.897;1290.749
01/10/2018;1.142;2114.564;29.264;101.242;0.340;33.361;4.766;1.275;106.924;123.907;140.774;0.731;134.225;24.449;115.519;9.937;239.705;47.444;39.960;127.816;0.182;100.888;707.476;5.658;-2.110;15.329;6.931;747.581;1612.486;1011.580
01/11/2018;2.008;3084.118;99.497;379.531;0.000;54.728;13.100;0.595;229.847;186.699;336.939;0.456;135.236;24.356;176.911;22.425;244.064;77.465;60.749;170.692;0.729;241.311;1231.677;125.464;132.385;23.078;8.758;2097.708;2869.247;1890.622
01/12/2018;1.051;4352.074;131.196;546.110;0.000;81.277;50.746;1.784;1299.637;478.318;350.317;3.835;179.852;66.682;364.643;81.077;380.687;138.968;107.636;109.856;1.094;257.427;1575.779;107.210;440.355;45.060;18.514;3134.855;4294.076;2457.141
01/01/2019;0.902;891.149;57.666;130.285;0.000;46.588;5.381;0.168;322.295;92.249;129.571;15.151;173.861;41.386;51.847;11.620;245.283;52.302;48.583;61.225;0.631;99.800;772.972;126.787;-124.294;6.572;22.453;748.770;1811.914;1049.735
01/02/2019;1.083;1816.210;21.339;119.670;0.000;74.369;4.373;1.260;374.421;178.558;143.632;2.164;300.028;16.676;95.678;12.612;242.759;66.458;76.993;91.349;3.517;122.273;1045.510;111.644;171.238;30.655;14.697;1324.470;1588.177;778.303
01/03/2019;2.887;2193.027;11.043;26.913;0.000;59.815;1.681;0.840;-77.722;147.451;150.937;0.271;257.637;31.017;-15.381;4.680;260.799;53.297;85.835;182.251;0.271;165.923;1394.329;91.619;148.710;6.668;10.725;250.384;1635.357;914.919
01/04/2019;0.947;2934.267;18.451;128.915;0.000;31.783;2.439;0.588;166.097;91.352;131.717;0.361;132.834;14.702;32.018;10.271;236.254;62.678;65.105;64.299;1.172;68.537;1028.019;129.584;-41.016;6.581;5.228;480.047;1294.453;841.807
01/05/2019;0.271;2458.936;10.465;35.630;0.084;19.005;14.980;0.588;237.790;205.510;183.043;2.975;200.567;14.065;216.237;5.944;175.842;111.192;46.439;84.406;0.271;173.947;801.949;36.698;162.233;4.684;4.954;605.946;1622.236;588.562
01/06/2019;0.541;2283.047;12.799;25.641;0.000;23.631;9.423;0.251;-18.922;320.411;184.663;0.000;32.462;12.260;89.365;8.744;199.373;36.694;30.917;138.503;0.000;120.919;599.608;59.246;153.024;7.030;9.914;372.920;1401.479;743.582
01/07/2019;0.812;3339.391;18.692;180.922;0.000;67.642;4.542;0.420;516.823;97.749;103.420;6.854;177.823;18.118;92.327;7.029;242.846;84.680;27.856;100.720;0.361;206.228;1324.214;89.185;-26.087;9.557;15.959;705.488;1800.003;1152.766
01/08/2019;1.083;2908.540;50.123;146.636;0.000;53.082;14.137;0.421;374.141;184.407;147.874;0.000;56.276;22.904;172.780;8.821;266.287;124.351;52.023;44.814;0.000;103.061;1240.485;63.484;51.211;7.661;7.845;746.241;1405.321;756.201
01/09/2019;0.451;2409.791;26.389;73.634;0.000;45.596;17.083;0.505;260.779;185.945;150.571;-0.265;150.229;21.459;105.591;4.956;171.520;31.563;36.693;51.218;0.000;36.232;986.378;10.637;37.601;11.271;10.098;383.032;1638.357;627.302
01/10/2019;0.541;2008.778;16.214;95.564;0.000;21.355;24.907;0.419;225.627;201.995;137.763;10.912;150.597;13.523;90.263;49.268;191.807;49.225;55.709;73.037;0.090;54.625;765.980;17.763;96.655;17.939;6.937;887.407;1821.831;977.191
01/11/2019;0.767;2861.951;52.651;440.869;0.000;37.582;8.157;0.923;257.914;277.563;281.493;7.212;79.637;34.346;281.801;19.011;290.090;49.318;70.411;89.343;0.000;234.409;883.663;43.280;134.725;23.067;16.583;2222.405;2656.596;1578.116
01/12/2019;0.000;6602.767;147.449;613.459;0.000;73.154;21.202;0.504;1085.215;437.082;361.903;18.846;162.327;10.458;312.739;25.216;510.757;137.878;56.357;181.694;0.090;276.691;1889.427;198.930;208.663;49.034;32.988;2694.113;3372.440;1852.636
01/01/2020;1.096;945.075;26.560;51.582;0.000;41.300;3.577;0.170;84.254;69.370;172.804;7.577;98.866;0.457;-44.436;2.735;218.487;47.465;41.070;107.990;0.000;165.502;752.314;48.117;-85.972;-0.179;14.057;578.724;1753.983;983.962
01/02/2020;0.548;2080.111;27.389;80.576;0.000;75.637;2.725;1.107;197.462;254.702;175.273;11.958;195.375;0.821;74.756;9.307;385.612;97.779;95.765;239.731;0.365;174.088;1032.881;119.864;100.592;19.890;8.213;935.642;1731.744;753.731
01/03/2020;0.274;2104.894;7.856;14.978;0.000;22.050;2.296;0.339;-5.247;59.513;90.920;14.059;222.568;0.822;120.499;2.097;300.894;44.817;39.800;144.144;0.183;104.972;809.788;63.350;57.792;3.282;7.119;219.675;880.575;494.571
01/04/2020;0.000;2072.187;8.529;41.175;0.000;17.710;0.682;0.256;53.394;81.155;56.954;0.365;36.431;0.274;76.314;1.825;236.640;78.697;10.768;30.392;0.000;34.683;737.573;7.575;-15.720;3.194;4.198;144.213;660.391;266.477
01/05/2020;0.000;1746.824;19.385;33.138;0.000;18.554;1.449;0.085;132.467;157.121;73.853;0.365;-34.211;0.455;81.622;1.732;202.225;-10.818;13.324;7.756;0.182;12.406;791.707;11.046;35.593;4.469;3.009;252.423;589.277;236.632
01/06/2020;0.548;2081.755;31.052;110.073;0.000;30.906;4.939;0.256;243.304;161.861;200.565;1.826;12.688;0.547;100.967;7.488;390.375;75.134;24.459;30.837;0.457;43.622;1007.555;8.490;64.263;8.308;15.147;333.220;1377.951;728.653
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
